,Titre,Auteur,Volumes,Pages,Édition,Couverture,Format,Harakat,Vérification et préparation,Préface,Annotations,lien
65,الحكم من المعاملات في آيات القرآن الكريم,د. أبو بكر بن محمد فوزي البخيت,,520,دار طيبة الخضراء,Rigide,17x24cm,Pas ou peu (ou que sur le Matn),,,,https://www.sifatusafwa.com/fr/autour-du-coran-et-du-tafsir/sagesses-des-transactions-dans-le-saint-coran.html
66,تعليقات الشيخ ابن باز على مقدمة تفسير الحافظ ابن كثير وتفسير سورة الفاتحة,الشيخ عبد العزيز بن باز,,244,مدار الوطن,Rigide,17x24cm,Pas ou peu (ou que sur le Matn),,,,https://www.sifatusafwa.com/fr/autour-du-coran-et-du-tafsir/ta-liqat-ibn-baz-ala-muqaddimah-tafsir-ibn-kathir-wa-tafsir-al-fatiha.html
67,,ابن المقفع,,,دار صادر,Rigide,17x24cm,En Majorité ou en Totalité,,,,https://www.sifatusafwa.com/fr/az-zuhd-wa-al-adab/al-adab-al-kabir-wa-al-adab-as-saghir-ibn-al-muqaffa.html
68,إتحاف الطلاب بشرح منظومة الآداب للمرداوي,الشيخ صالح الفوزان,,1035,مكتبة الإمام الذهبي,Rigide,17x24cm,En Partie,سلمان جابر عثمان السويلم,,,https://www.sifatusafwa.com/fr/az-zuhd-wa-al-adab/itfhaf-at-tullab-bi-charh-mandhumah-al-adab-al-mardawi-al-fawzan.html
69,مكارم الأخلاق في ضوء الكتاب والسنة,سعدي بن حمود الشمري,,272,دار البشائر الإسلامية,Rigide,17x24cm,En Partie,,,,https://www.sifatusafwa.com/fr/az-zuhd-wa-al-adab/makarim-al-akhlaq-fi-daw-al-quran-wa-as-sunnah-sa-di-al-chamri.html
70,منهج السلف في تزكية النفوس,سعدي بن حمود الشمري,,240,دار البشائر الإسلامية,Rigide,17x24cm,En Partie,,,,https://www.sifatusafwa.com/fr/az-zuhd-wa-al-adab/minhaj-as-salaf-fi-tazkiyah-an-noufous-sa-di-al-shamri.html
71,تذكير النبلاء بفضل الثناء,د. نجيب جيلاني,,220,دار اللؤلؤة المصرية,Rigide,17x24cm,En Majorité ou en Totalité,,,,https://www.sifatusafwa.com/fr/az-zuhd-wa-al-adab/tadhkir-an-nubalae-bi-fadl-ath-thanae-le-bienfait-des-compliments.html
72,إيضاح المبهم من معاني السلم,الشيخ أحمد الدمنهوري,,214,دار اللؤلؤة المصرية,Souple,17x24cm,En Majorité ou en Totalité,محمد بن نور الدين الشافعي,مصطفى أحمد الشافعي,,https://www.sifatusafwa.com/fr/balaghah-et-mantiq/idah-al-mubham-min-maani-as-sullam-al-damanhuri-ilm-al-mantiq.html
73,المعين في معرفة مناهج المحدثين,د. خالد بن قاسم الردادي,,247,دار الناشر المتميز,Rigide,17x24cm,Pas ou peu (ou que sur le Matn),,,,https://www.sifatusafwa.com/fr/biographie-histoire/al-mou-in-fi-ma-rifah-manahij-al-mouhaddithin-khalid-ar-raddadi.html
74,السلوك في طبقات العلماء والملوك,بهاء الدين محمد بن يوسف الجندي,3,1977,دار المنهاج,Rigide,17x24cm,Pas ou peu (ou que sur le Matn),,,,https://www.sifatusafwa.com/fr/biographie-histoire/as-soulouk-fi-tabaqat-al-oulema-wa-al-moulouk-al-janadi-3-vol.html
75,موسوعة أعلام الحرب والسياسة في التاريخ الإسلامي,وليد خالد,,864,دار البشائر الإسلامية,Rigide,20x28cm,Pas ou peu (ou que sur le Matn),,,,https://www.sifatusafwa.com/fr/biographie-histoire/encyclopédie-des-grands-personnages-de-guerre-et-de-la-politique-de-l-histoire-islamique.html
76,قصة بدء الخلق وخلق آدم عليه السلام,د. علي محمد الصلابي,,1184,دار ابن كثير,Rigide,17x24cm,Pas ou peu (ou que sur le Matn),,,,https://www.sifatusafwa.com/fr/biographie-histoire/l-histoire-du-début-de-la-création-et-de-la-création-d-adam-sallabi.html
77,مدارس السيرة النبوية - دراسة نقدية تحليلية لمناهجها في الاستمداد,د. محمد بن علي اليولو,,453,دار التوحيد للنشر,Rigide,17x24cm,Pas ou peu (ou que sur le Matn),,,,https://www.sifatusafwa.com/fr/biographie-histoire/les-différentes-tendances-dans-l-etude-de-la-biographie-prophétique.html
78,مدرسة الحديث في قرطبة، من الفتح إلى سقوط الخلافة ( ٩٣ - ٤٢٢ هـ ),أحمد بن علي القرني,,352,مكتبة دار المنهاج,Rigide,17x24cm,Pas ou peu (ou que sur le Matn),,,,https://www.sifatusafwa.com/fr/biographie-histoire/madrasah-al-hadith-fi-qurtubah-min-al-fath-ila-suqut-al-khilaf.html
